Week Ending Date,Game Type,Sales Amount
01/08/2022,Instaplay,897462.00
01/15/2022,Lotto,1769814.50
01/15/2022,Instant,4590297.00
01/15/2022,Pulltab,282564.79
01/15/2022,Instaplay,1298018.00
01/22/2022,Lotto,1843623.00
01/22/2022,Instant,4994511.00
01/22/2022,Pulltab,198450.00
01/22/2022,Instaplay,359912.00
01/29/2022,Lotto,1964133.50
01/29/2022,Instant,7921185.00
01/29/2022,Pulltab,272835.00
01/29/2022,Instaplay,437021.00
02/05/2022,Lotto,1666554.50
02/05/2022,Instant,5688315.00
02/05/2022,Pulltab,222662.99
02/05/2022,Instaplay,482530.00
02/12/2022,Lotto,1716411.00
02/12/2022,Instant,5048998.00
02/12/2022,Pulltab,231390.00
02/12/2022,Instaplay,506410.00
02/19/2022,Lotto,1549328.50
02/19/2022,Instant,6907430.00
02/19/2022,Pulltab,320185.01
02/19/2022,Instaplay,527321.00
02/26/2022,Lotto,1577127.00
02/26/2022,Instant,5366969.00
02/26/2022,Pulltab,202657.56
02/26/2022,Instaplay,464557.00
03/05/2022,Lotto,1679087.00
03/05/2022,Instant,5954782.00
03/05/2022,Pulltab,247521.26
03/05/2022,Instaplay,447101.00
03/12/2022,Lotto,1656155.00
03/12/2022,Instant,4993375.00
03/12/2022,Pulltab,265072.50
03/12/2022,Instaplay,441446.00
03/19/2022,Lotto,1679171.50
03/19/2022,Instant,5241590.00
03/19/2022,Pulltab,279045.00
03/19/2022,Instaplay,427012.00
03/26/2022,Lotto,1731099.50
03/26/2022,Instant,6128501.00
03/26/2022,Pulltab,271350.00
03/26/2022,Instaplay,417030.00
04/02/2022,Lotto,1831822.50
04/02/2022,Instant,6506360.00
04/02/2022,Pulltab,224964.27
04/02/2022,Instaplay,426269.00
04/09/2022,Lotto,1911817.00
04/09/2022,Instant,5223698.00
04/09/2022,Pulltab,219375.00
04/09/2022,Instaplay,425843.00
04/16/2022,Lotto,2020751.50
04/16/2022,Instant,5120862.00
04/16/2022,Pulltab,283365.00
04/16/2022,Instaplay,404855.00
04/23/2022,Lotto,2295636.50
04/23/2022,Instant,5950480.00
04/23/2022,Pulltab,246510.00
04/23/2022,Instaplay,418198.00
04/30/2022,Lotto,2377364.00
04/30/2022,Instant,6641933.00
04/30/2022,Pulltab,254745.00
04/30/2022,Instaplay,432292.00
05/07/2022,Lotto,1597696.00
05/07/2022,Instant,5285070.00
05/07/2022,Pulltab,193995.00
05/07/2022,Instaplay,459454.00
05/14/2022,Lotto,1596063.00
05/14/2022,Instant,5212415.00
05/14/2022,Pulltab,288360.00
05/14/2022,Instaplay,409018.00
05/21/2022,Lotto,1692765.00
05/21/2022,Instant,6107534.00
05/21/2022,Pulltab,243810.00
05/21/2022,Instaplay,456802.00
05/28/2022,Lotto,1705712.50
05/28/2022,Instant,5742446.00
05/28/2022,Pulltab,247812.02
05/28/2022,Instaplay,388749.00
06/04/2022,Lotto,1750602.50
06/04/2022,Instant,5141601.00
06/04/2022,Pulltab,205335.00
06/04/2022,Instaplay,372374.00
06/11/2022,Lotto,1866879.50
06/11/2022,Instant,4554226.00
06/11/2022,Pulltab,211410.00
06/11/2022,Instaplay,377257.00
06/18/2022,Lotto,1913587.00
06/18/2022,Instant,5587381.00
06/18/2022,Pulltab,248224.50
06/18/2022,Instaplay,415820.00
06/25/2022,Lotto,2097301.50
06/25/2022,Instant,4648707.00
06/25/2022,Pulltab,243810.00
06/25/2022,Instaplay,530249.00
07/02/2022,Lotto,2167950.50
07/02/2022,Instant,5361384.00
07/02/2022,Pulltab,270337.01
07/02/2022,Instaplay,763393.00
07/04/2015,Lotto,1477969.00
07/04/2015,Instant,3829822.00
07/04/2015,Pulltab,278080.00
07/11/2015,Lotto,1459132.00
07/11/2015,Instant,3425039.00
07/11/2015,Pulltab,292275.00
07/18/2015,Lotto,1515182.00
07/18/2015,Instant,3963434.00
07/18/2015,Pulltab,313403.00
07/25/2015,Lotto,1454695.00
07/25/2015,Instant,3792073.00
07/25/2015,Pulltab,273735.00
08/01/2015,Lotto,1495088.00
08/01/2015,Instant,4632792.00
08/01/2015,Pulltab,302424.00
08/08/2015,Lotto,1341382.00
08/08/2015,Instant,3723244.00
08/08/2015,Pulltab,294949.00
08/15/2015,Lotto,1373318.00
08/15/2015,Instant,3718460.00
08/15/2015,Pulltab,292774.00
08/22/2015,Lotto,1434752.00
08/22/2015,Instant,4366377.00
08/22/2015,Pulltab,257985.00
08/29/2015,Lotto,1581316.00
08/29/2015,Instant,4539153.00
08/29/2015,Pulltab,284713.00
09/05/2015,Lotto,1683879.00
09/05/2015,Instant,3586720.00
09/05/2015,Pulltab,278674.00
09/12/2015,Lotto,1716200.00
09/12/2015,Instant,3588554.00
09/12/2015,Pulltab,286793.00
09/19/2015,Lotto,1849677.00
09/19/2015,Instant,4106904.00
09/19/2015,Pulltab,325181.00
09/26/2015,Lotto,2294686.00
09/26/2015,Instant,4159617.00
09/26/2015,Pulltab,287678.00
10/03/2015,Lotto,2238026.00
10/03/2015,Instant,3577988.00
10/03/2015,Pulltab,311348.00
10/10/2015,Lotto,1515361.00
10/10/2015,Instant,3597425.00
10/10/2015,Pulltab,209925.00
10/17/2015,Lotto,1500783.00
10/17/2015,Instant,3578335.00
10/17/2015,Pulltab,324125.00
10/24/2015,Lotto,1607188.00
10/24/2015,Instant,3128323.00
10/24/2015,Pulltab,301995.00
10/31/2015,Lotto,1720775.00
10/31/2015,Instant,6108749.00
10/31/2015,Pulltab,283343.00
11/07/2015,Lotto,1726503.00
11/07/2015,Instant,3706103.00
11/07/2015,Pulltab,299474.00
11/14/2015,Lotto,1704357.00
